,Unnamed: 0,id,original_title,release_date,runtime,genres,budget,revenue,vote_average,vote_count,popularity,overview,year,month,day,fixed_budget,fixed_revenue,fixed_gross
29,33,8738,The Final Countdown,1980-01-31,103,"War,Action,Fiction",12000000,16647800,6.6,456,12.673,"During routine manoeuvres near Hawaii in 1980, the aircraft-carrier USS Nimitz is caught in a strange vortex-like storm, throwing the ship back in time to 1941—mere hours before the Japanese attack on Pearl Harbor.",1980,1,31,44440227.815615416,61652668.71906687,17212440.903451458
30,36,14729,The Long Riders,1980-05-16,99,"Western,Crime,Action",10000000,15795189,6.6,169,6.812,"The origins, exploits and the ultimate fate of the James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",1980,5,16,37033523.179679506,58495149.79589189,21461626.616212383
31,37,7988,The Island,1980-06-13,114,"Action,Adventure,Thriller,Horror,Mystery",22000000,15700000,5.2,62,5.158,"David Nau leads a band of modern day pirates who raid yachts and sail boats of people on vacation in the Caribbean. When reporter Blair Maynard and his son arrive to investigate the mystery of the disappearing boats, Nau and his band of raiders decide to induct them into their tribe.",1980,6,13,81473750.99529491,58142631.392096855,-23331119.60319806
32,38,36599,Prom Night,1980-07-18,92,"Horror,Mystery,Thriller",1500000,14796236,5.7,310,12.942,"At a high school senior prom, a masked killer stalks four teenagers who were responsible for the accidental death of a classmate six years previously",1980,7,18,5555028.476951927,54795674.88780084,49240646.410848916
33,41,23954,Atlantic City,1980-09-03,104,"Crime,Drama,Romance",7200000,12729675,6.9,188,6.121,"In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger.",1980,9,3,26664136.68936924,47142471.41822869,20478334.728859454
34,42,13550,The Changeling,1980-03-28,103,Horror,7600000,12000000,7.0,446,11.967,"After a tragic event happens, composer John Russell moves to Seattle to try to overcome it and build a new and peaceful life in a lonely big house that has been uninhabited for many years. But, soon after, the obscure history of such an old mansion and his own past begin to haunt him.",1980,3,28,28145477.61655644,44440227.815615416,16294750.199058976
35,43,14475,Used Cars,1980-07-11,113,Comedy,8000000,11715321,6.4,181,7.884,"When the owner of a struggling used car lot is killed, it's up to the lot's hot-shot salesman to save the property from falling into the hands of the owner's ruthless brother and used-car rival.",1980,7,11,29626818.543743603,43385961.181088634,13759142.63734503
36,46,14460,Battle Beyond the Stars,1980-09-08,104,"Fiction,Action,Adventure",2000000,11000000,5.4,141,10.425,A young farmer assembles a band of diverse mercenaries to defend his peaceful planet from an evil tyrant.,1980,9,8,7406704.635935901,40736875.49764746,33330170.861711554
37,48,11337,Stardust Memories,1980-09-26,89,"Comedy,Drama,Romance",10000000,10389003,7.0,325,7.188,"While attending a retrospect of his work, a filmmaker recalls his life and his loves: the inspirations for his films.",1980,9,26,37033523.179679506,38474138.34142602,1440615.1617465168
38,49,27346,Maniac,1980-11-14,87,Horror,350000,10000000,6.4,318,9.4,"A psychotic man, troubled by his childhood abuse, loose in NYC, kills young women and local girl American models and takes their scalps as trophies. Will he find the perfect woman in photographer Anna, and end his killing spree.",1980,11,14,1296173.311288783,37033523.179679506,35737349.868390724
