,original_title,id,runtime,genres,budget,revenue,vote_average,vote_count,popularity,year,month,day,fixed_budget,fixed_revenue,fixed_gross,gross_factor,pop_factor,freshness_factor,runtime_factor,goodness_factor,predicted_goodness
26,The Fog,790,89,Horror,1000000,21378361,6.7,1152,17.369,1980,2,8,3703352.3179679504,79171602.76370566,75468250.4457377,8.943799741819086,7.154957466062501,0.0,4.306009760775681,5.101191742164317,6.895935600342149
27,Altered States,11542,102,"Horror,Fiction,Thriller",15000000,19853892,6.7,503,15.686,1980,12,25,55550284.76951926,73525956.95888534,17975672.18936608,8.865200956454988,6.492593433390089,0.0,5.563482061211881,5.230319112764239,7.086774196737213
28,Rough Cut,49375,112,"Adventure,Comedy,Crime,Mystery,Romance",14000000,16656125,5.8,26,2.847,1980,6,19,51846932.451551326,61683499.127113946,9836566.67556262,8.852886745662625,4.009327218282248,0.0,7.081009965973052,4.985805982479481,7.006938812413103
29,The Final Countdown,8738,103,"War,Action,Fiction",12000000,16647800,6.6,456,12.673,1980,1,31,44440227.815615416,61652668.71906687,17212440.903451458,8.864060303910431,6.40216275008209,0.0,5.729107246376018,5.248832575092135,7.326416800083112
30,The Long Riders,14729,99,"Western,Crime,Action",10000000,15795189,6.6,169,6.812,1980,5,16,37033523.17967951,58495149.79589189,21461626.616212383,8.870374589908732,5.608767483957036,0.0,5.161963534029777,4.910276401973886,7.223733392880233
31,The Island,7988,114,"Action,Adventure,Thriller,Horror,Mystery",22000000,15700000,5.2,62,5.158,1980,6,13,81473750.99529491,58142631.392096855,-23331119.60319806,8.798934780759852,4.616677509693186,0.0,6.325279691325684,4.93522299544468,7.03478647332255
32,Prom Night,36599,92,"Horror,Mystery,Thriller",1500000,14796236,5.7,310,12.942,1980,7,18,5555028.476951927,54795674.88780084,49240646.41084892,8.909621481114948,5.976508384342024,0.0,4.516306680709556,4.850609136541632,7.222130376475706
33,Atlantic City,23954,104,"Crime,Drama,Romance",7200000,12729675,6.9,188,6.121,1980,9,3,26664136.68936924,47142471.41822869,20478334.72885945,8.868921211695591,5.729460048192815,0.0,5.918707639071406,5.129272224739953,7.1988846026226705
34,The Changeling,13550,103,Horror,7600000,12000000,7.0,446,11.967,1980,3,28,28145477.61655644,44440227.815615416,16294750.199058976,8.862685004592421,6.431470944403836,0.0,5.729107246376018,5.255815798843069,7.2384953238587855
35,Used Cars,14475,113,Comedy,8000000,11715321,6.4,181,7.884,1980,7,11,29626818.543743603,43385961.18108864,13759142.63734503,8.858863201304171,5.639002895689791,0.0,6.645092790656811,5.285739721912694,7.2817557575026
36,Battle Beyond the Stars,14460,104,"Fiction,Action,Adventure",2000000,11000000,5.4,141,10.425,1980,9,8,7406704.635935901,40736875.49764746,33330170.861711554,8.887559627246967,5.303581439242753,0.0,5.918707639071406,5.027462176390282,7.18880241157229
37,Stardust Memories,11337,89,"Comedy,Drama,Romance",10000000,10389003,7.0,325,7.188,1980,9,26,37033523.17967951,38474138.34142602,1440615.1617465168,8.839823844525872,6.178492753219083,0.0,4.306009760775681,4.831081589630159,6.996913996015357
38,Maniac,27346,87,Horror,350000,10000000,6.4,318,9.4,1980,11,14,1296173.311288783,37033523.17967951,35737349.868390724,8.890967112652229,6.0894602952774415,0.0,4.179641981136561,4.7900173472665575,7.097437375967272
39,The Hollywood Knights,21879,91,Comedy,2500000,10000000,6.2,42,4.344,1980,5,18,9258380.794919876,37033523.17967951,27775142.384759627,8.879597168065173,4.445964545484824,0.0,4.443065161753528,4.442156718825881,7.031552726996579
40,The Big Red One,16121,113,"Drama,War",4500000,7206220,6.8,223,8.45,1980,1,22,16665085.430855775,26687171.54078701,10022086.109931238,8.853171184032778,5.854257892827146,0.0,6.645092790656811,5.338130466879184,6.936816228816294
41,Raise the Titanic,24575,115,Adventure,36000000,7000000,5.5,64,10.187,1980,8,1,133320683.44684622,25923466.225775663,-107397217.22107056,8.62394268367086,4.686887865213718,0.0,6.071250033605381,4.84552014562249,7.142353206922858
42,Galaxina,33155,95,"Comedy,Fiction",5500000,4865000,4.1,41,6.878,1980,6,6,20368437.74882373,18016809.026914086,-2351628.721909642,8.833798101711693,4.096136482977277,0.0,4.759539621348529,4.422368551509375,7.173159659726296
43,Willie and Phil,92323,115,"Comedy,Drama,Romance",5500000,4400000,4.4,5,2.515,1980,8,15,20368437.74882373,16294750.19905898,-4073687.5497647487,8.831035172829798,2.4707163414021864,0.0,6.071250033605381,4.343250386959341,6.920670325577359
