original_title,runtime,genres,budget,revenue,vote_average,vote_count,popularity,year,month,day,fixed_budget,fixed_revenue,fixed_gross,gross_factor,pop_factor,freshness_factor,runtime_factor,goodness_factor
The Final Countdown,103,"War,Action,Fiction",12000000,16647800,6.6,456,12.673,1980,1,31,44440227.815615416,61652668.71906687,17212440.903451458,2.8610040126957506,6.40216275008209,0.0,4.1689633612888715,3.3580325310166783
The Long Riders,99,"Western,Crime,Action",10000000,15795189,6.6,169,6.812,1980,5,16,37033523.17967951,58495149.79589189,21461626.616212383,2.8809749894422523,5.608767483957036,0.0,3.456653714095997,2.9865990468738213
The Island,114,"Action,Adventure,Thriller,Horror,Mystery",22000000,15700000,5.2,62,5.158,1980,6,13,81473750.99529491,58142631.392096855,-23331119.60319806,2.662929481044013,4.616677509693186,0.0,4.939557128746698,3.054791029870974
Prom Night,92,"Horror,Mystery,Thriller",1500000,14796236,5.7,310,12.942,1980,7,18,5555028.476951927,54795674.88780084,49240646.41084892,3.008270317928036,5.976508384342024,0.0,2.673904464568282,2.914670791709585
Atlantic City,104,"Crime,Drama,Romance",7200000,12729675,6.9,188,6.121,1980,9,3,26664136.68936924,47142471.41822869,20478334.72885945,2.876365893957442,5.729460048192815,0.0,4.411761987908632,3.2543969825147223
The Changeling,103,Horror,7600000,12000000,7.0,446,11.967,1980,3,28,28145477.61655644,44440227.815615416,16294750.199058976,2.85667257631982,6.431470944403836,0.0,4.1689633612888715,3.364276720503132
Used Cars,113,Comedy,8000000,11715321,6.4,181,7.884,1980,7,11,29626818.543743603,43385961.18108864,13759142.63734503,2.84467039829827,5.639002895689791,0.0,5.361010890650784,3.4611710461597114
Battle Beyond the Stars,104,"Fiction,Action,Adventure",2000000,11000000,5.4,141,10.425,1980,9,8,7406704.635935901,40736875.49764746,33330170.861711554,2.9360370781593543,5.303581439242753,0.0,4.411761987908632,3.1628451263276847
Stardust Memories,89,"Comedy,Drama,Romance",10000000,10389003,7.0,325,7.188,1980,9,26,37033523.17967951,38474138.34142602,1440615.1617465168,2.7856254462236687,6.178492753219083,0.0,2.4259875150868893,2.8475264286324102
Maniac,87,Horror,350000,10000000,6.4,318,9.4,1980,11,14,1296173.311288783,37033523.17967951,35737349.868390724,2.9470792917041537,6.0894602952774415,0.0,2.278751101486535,2.8288226721170324
The Hollywood Knights,91,Comedy,2500000,10000000,6.2,42,4.344,1980,5,18,9258380.794919876,37033523.17967951,27775142.384759627,2.9103951568643964,4.4459645454848244,0.0,2.587155057298171,2.485878689911848
The Big Red One,113,"Drama,War",4500000,7206220,6.8,223,8.45,1980,1,22,16665085.430855775,26687171.54078701,10022086.109931238,2.8268883237131432,5.854257892827146,0.0,5.361010890650784,3.5105392767977683
Raise the Titanic,115,Adventure,36000000,7000000,5.5,64,10.187,1980,8,1,133320683.44684622,25923466.225775663,-107397217.22107056,2.196018805000244,4.686887865213718,0.0,4.608678927952807,2.872896399541692
Galaxina,95,"Comedy,Fiction",5500000,4865000,4.1,41,6.878,1980,6,6,20368437.74882373,18016809.026914086,-2351628.721909642,2.7671949160211233,4.096136482977277,0.0,2.965046124366789,2.4570943808412977
Willie and Phil,115,"Comedy,Drama,Romance",5500000,4400000,4.4,5,2.515,1980,8,15,20368437.74882373,16294750.19905898,-4073687.5497647487,2.758784957029607,2.4707163414021864,0.0,4.608678927952807,2.4595450565961503
影武者,180,"Action,Drama,History,War",6000000,4000000,7.8,500,11.631,1980,4,26,22220113.907807708,14813409.2718718,-7406704.635935906,2.742434353999523,6.609320696352632,0.0,0.36065608006770816,2.4281027826049657
When Time Ran Out...,121,"Action,Adventure,Drama,Thriller",20000000,3763988,5.8,46,4.761,1980,3,28,74067046.35935901,13939373.68460356,-60127672.674755454,2.469445991934444,4.465372234353569,0.0,3.4147479948580037,2.587391555286504
Heaven's Gate,219,"Drama,Western",44000000,3484331,6.8,263,9.265,1980,11,19,162947501.99058983,12903705.28541759,-150043796.70517224,1.9161403400470434,5.986130674824589,0.0,0.0,1.9755677537179082
Москва слезам не верит,142,"Drama,Comedy,Romance",900000,2500000,7.8,179,5.079,1980,2,11,3333017.086171155,9258380.794919876,5925363.7087487215,2.8072654307245437,5.788246595032494,0.0,1.7214103002974168,2.579230581513614
Banker Bilo,85,"Drama,Comedy",85000,243000,7.0,47,3.436,1980,1,1,314784.9470272758,899914.6132662125,585129.6662389367,2.781478403388453,4.632875418766296,0.0,2.1430961496694803,2.3893624929560575
The Sea Wolves,120,"War,Action,Thriller",12000000,220181,5.9,61,6.112,1980,7,3,44440227.815615416,815407.8167225015,-43624819.99889291,2.558031780786019,4.704628691354343,0.0,3.5611317967223375,2.705948067215675
