,id,original_title,genres,release_date,vote_average,vote_count,popularity,budget,revenue,overview
817,1015727,Buzzy Rides the Range,,1940-12-30,0.0,0,0.6,0,0,"All the ranchers are losing cattle but are unable to find the rustlers. Posing as a prospector, Agent Ken Blair arrives and teams up with young Buzzy to look for them. After Buzzy overhears Ames' men talking, Blair finds evidence that Ames is using trucks to haul away the beef. Looking for tire tracks, Buzzy locates the rustling operation and sends his horse back with a message."
818,1014834,Ha entrado un ladrón,Comedy,1940-04-03,0.0,0,0.6,0,0,The consequences of having accepted a thief as a guest in the house.
819,1013456,Una lampada alla finestra,Drama,1940-02-10,0.0,0,0.6,0,0,
820,15,Citizen Kane,"Mystery,Drama",1941-04-17,8,4542,25.208,839727,23218000,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event."
821,16442,Sergeant York,"History,Romance,War",1941-09-27,7.3,155,8.782,1400000,16361885,Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.
822,43266,How Green Was My Valley,"Drama,History,Family",1941-10-28,7.2,290,9.957,1250000,6000000,"At the turn of the century in a Welsh mining village, the Morgans (he stern, she gentle) raise coal-mining sons and hope their youngest will find a better life."
823,11462,Suspicion,"Mystery,Romance,Thriller",1941-11-14,7.1,597,14.194,1103000,4500000,"Wealthy, sheltered Lina McLaidlaw is swept off her feet by charming ne'er-do-well Johnnie Aysgarth. Though warned that Johnnie is little more than a fortune hunter, Lina marries him anyway and remains loyal to her irresponsible husband as he plows his way from one disreputable business scheme to another. Gradually Lina comes to the conclusion that Johnnie intends to kill her in order to collect her inheritance. The suspicion seems confirmed when Johnnie's business partner dies under mysterious circumstances."
824,14590,Shadow of the Thin Man,"Comedy,Crime,Mystery",1941-11-21,7,73,6.167,821000,2301000,High society sleuths Nick and Nora Charles run into a variety of shady characters while investigating a race-track murder.
825,32574,Meet John Doe,"Comedy,Drama,Romance",1941-03-14,7.4,179,7.518,0,2000000,"As a parting shot, fired reporter Ann Mitchell prints a fake letter from unemployed ""John Doe,"" who threatens suicide in protest of social ills. The paper is forced to rehire Ann and hires John Willoughby to impersonate ""Doe."" Ann and her bosses cynically milk the story for all it's worth, until the made-up ""John Doe"" philosophy starts a whole political movement."
826,20644,Love Crazy,"Comedy,Romance",1941-05-23,7.4,22,2.918,889900,2000000,"Circumstance, an old flame and a mother-in-law drive a happily married couple to the verge of divorce and insanity."
827,963,The Maltese Falcon,"Mystery,Crime,Thriller",1941-10-18,7.8,1295,12.414,375000,1772000,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette."
828,86604,"Tom, Dick and Harry","Comedy,Fantasy,Romance",1941-06-13,5.4,10,1.765,806000,1628000,"Janie is a telephone operator who is caught up in the lines of love of three men: car salesman Tom, Chicago millionaire Dick and auto mechanic Harry. But Janie just can't seem to make up her mind between them. While fantasizing about her futures with each of the men, Janie spends her time desperately trying to juggle between them until she can make a decision."
829,11360,Dumbo,"Animation,Family",1941-10-01,7,4243,88.327,812000,1600000,"Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles."
830,43800,The Corsican Brothers,"Adventure,Drama",1941-11-28,6.8,6,1.633,0,1300000,"Cultured Mario and outlaw Lucien, twins separated at birth, join forces to avenge their parents' death at the hands of evil Colonna. Because each feels all the same sensations experienced by the other, swordplay is difficult for them. Worse yet, raised very differently, they struggle to find common ground between their conflicting personalities. But to defeat their enemy, the two will have to overcome the obstacles and work as a team."
831,16305,Sullivan's Travels,"Adventure,Comedy,Romance",1941-11-30,7.5,345,7.933,700000,1200000,"Successful movie director John L. Sullivan, convinced he won't be able to film his ambitious masterpiece until he has suffered, dons a hobo disguise and sets off on a journey, aiming to ""know trouble"" first-hand. When all he finds is a train ride back to Hollywood and a beautiful blonde companion, he redoubles his efforts, managing to land himself in more trouble than he bargained for when he loses his memory and ends up a prisoner on a chain gang."
832,43705,The Great Lie,Drama,1941-04-05,6.9,37,2.502,0,689253,"After a newlywed's husband apparently dies in a plane crash, she discovers that her rival for his affections is pregnant with his child."
833,442778,The Way of All Pests,"Animation,Comedy",1941-02-28,0,0,0.665,59967,59967,Various members of the insect world join forces to harass a man who unknowingly makes their lives miserable.
834,90034,Le Roman de Renard,"Animation,Comedy,Family,Fantasy",1941-04-10,7,38,2.424,0,2094,"In the kingdom of animals, Master Fox is used to trick and fool everyone. So the King, the Lion, receives more and more complaints about him. He orders that Master Fox is arrested and brought to him."
835,413211,Fightin' Fools,Comedy,1941-02-25,6,2,1.4,23,31,Spanky and the Our Gang kids go to battle over pranks with a rival gang.
