,id,original_title,release_date,runtime,genres,budget,revenue,vote_average,vote_count,popularity,overview
0,955,Mission: Impossible II,2000-05-24,123,"Adventure,Action,Thriller",125000000,546388105,6.1,5472,22.83,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude."
1,98,Gladiator,2000-05-04,155,"Action,Drama,Adventure",103000000,465361176,8.2,15556,60.078,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences."
2,8358,Cast Away,2000-12-22,143,"Adventure,Drama",90000000,429632142,7.7,9682,29.574,"Chuck Nolan, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home."
3,3981,What Women Want,2000-12-15,127,"Comedy,Romance",70000000,374111707,6.4,3322,23.891,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him."
4,10567,Dinosaur,2000-05-19,82,"Family,Animation",127500000,354248063,6.5,2088,93.685,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.
5,8871,How the Grinch Stole Christmas,2000-11-17,104,"Family,Comedy,Fantasy",123000000,345141403,6.7,6077,86.254,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch."
6,1597,Meet the Parents,2000-10-06,108,"Comedy,Romance",55000000,330444045,6.7,5117,19.226,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze."
7,2133,The Perfect Storm,2000-06-29,130,"Action,Adventure,Drama,Thriller",120000000,325756637,6.4,1838,25.652,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure."
8,44947,Le Roi Danse,2000-12-06,115,"Drama,History,Music",21000000,320300000,6.6,34,2.234,"Louis XIV, the French sun-king has two passions, establishing absolute rule over the realm -after decades of religious/civil wars- by divine right and artistic brilliancy as a dancer"
9,36657,X-Men,2000-07-13,104,"Adventure,Action,Fiction",75000000,296339527,7.0,9827,1.891,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers."
